index_code,con_code,trade_date,weight
000016.SH,600276.SH,20260227,2.7
000016.SH,688256.SH,20260227,2.655
000016.SH,688041.SH,20260227,2.595
000016.SH,603259.SH,20260227,2.591
000016.SH,688981.SH,20260227,2.458
000016.SH,601398.SH,20260227,2.393
000016.SH,601211.SH,20260227,2.286
000016.SH,603993.SH,20260227,2.239
000016.SH,688008.SH,20260227,2.002
000016.SH,601288.SH,20260227,1.966
000016.SH,601328.SH,20260227,1.868
000016.SH,600309.SH,20260227,1.867
000016.SH,600150.SH,20260227,1.822
000016.SH,600887.SH,20260227,1.764
000016.SH,600111.SH,20260227,1.688
000016.SH,688012.SH,20260227,1.652
000016.SH,601816.SH,20260227,1.553
000016.SH,601601.SH,20260227,1.493
000016.SH,601088.SH,20260227,1.49
000016.SH,600031.SH,20260227,1.468
000016.SH,603019.SH,20260227,1.442
000016.SH,601857.SH,20260227,1.316
000016.SH,601012.SH,20260227,1.187
000016.SH,600406.SH,20260227,1.172
000016.SH,601668.SH,20260227,1.113
000016.SH,603501.SH,20260227,1.113
000016.SH,600690.SH,20260227,1.031
000016.SH,601919.SH,20260227,1.012
000016.SH,600028.SH,20260227,1.006
000016.SH,601225.SH,20260227,0.983
000016.SH,601728.SH,20260227,0.961
000016.SH,601127.SH,20260227,0.937
000016.SH,601888.SH,20260227,0.841
000016.SH,600809.SH,20260227,0.841
000016.SH,600050.SH,20260227,0.822
000016.SH,601988.SH,20260227,0.808
000016.SH,601628.SH,20260227,0.792
000016.SH,601985.SH,20260227,0.749
000016.SH,688111.SH,20260227,0.746
000016.SH,600104.SH,20260227,0.704
000016.SH,601658.SH,20260227,0.586
000016.SH,600760.SH,20260227,0.503
000016.SH,600930.SH,20260227,0.188
000016.SH,600519.SH,20260130,9.295
000016.SH,601318.SH,20260130,7.54
000016.SH,601899.SH,20260130,7.005
000016.SH,600036.SH,20260130,5.071
000016.SH,600900.SH,20260130,3.417
000016.SH,601166.SH,20260130,3.355
000016.SH,600030.SH,20260130,2.904
000016.SH,688256.SH,20260130,2.812
000016.SH,600276.SH,20260130,2.752
000016.SH,688041.SH,20260130,2.605
000016.SH,688981.SH,20260130,2.605
000016.SH,603259.SH,20260130,2.495
000016.SH,601398.SH,20260130,2.485
000016.SH,601211.SH,20260130,2.374
000016.SH,603993.SH,20260130,2.251
000016.SH,688008.SH,20260130,2.207
000016.SH,601288.SH,20260130,2.046
000016.SH,601328.SH,20260130,1.871
000016.SH,600887.SH,20260130,1.765
000016.SH,600309.SH,20260130,1.751
000016.SH,601601.SH,20260130,1.652
000016.SH,688012.SH,20260130,1.616
000016.SH,600150.SH,20260130,1.605
000016.SH,601816.SH,20260130,1.515
000016.SH,601088.SH,20260130,1.465
000016.SH,603019.SH,20260130,1.392
000016.SH,600111.SH,20260130,1.383
000016.SH,600031.SH,20260130,1.378
000016.SH,601857.SH,20260130,1.323
000016.SH,601012.SH,20260130,1.149
000016.SH,601668.SH,20260130,1.103
000016.SH,603501.SH,20260130,1.087
000016.SH,600406.SH,20260130,1.072
000016.SH,600028.SH,20260130,1.005
000016.SH,600690.SH,20260130,0.998
000016.SH,601728.SH,20260130,0.987
000016.SH,601919.SH,20260130,0.961
000016.SH,601888.SH,20260130,0.924
000016.SH,601225.SH,20260130,0.915
000016.SH,601127.SH,20260130,0.901
000016.SH,600809.SH,20260130,0.884
000016.SH,601628.SH,20260130,0.878
000016.SH,600050.SH,20260130,0.846
000016.SH,688111.SH,20260130,0.827
000016.SH,601988.SH,20260130,0.815
000016.SH,601985.SH,20260130,0.751
000016.SH,600104.SH,20260130,0.689
000016.SH,601658.SH,20260130,0.591
000016.SH,600760.SH,20260130,0.495
000016.SH,600930.SH,20260130,0.186
000016.SH,600519.SH,20251231,9.243
000016.SH,601318.SH,20251231,7.816
000016.SH,601899.SH,20251231,6.086
000016.SH,600036.SH,20251231,5.586
000016.SH,601166.SH,20251231,3.822
000016.SH,600900.SH,20251231,3.566
000016.SH,688256.SH,20251231,3.064
000016.SH,600030.SH,20251231,3.004
000016.SH,600276.SH,20251231,2.851
000016.SH,601398.SH,20251231,2.75
000016.SH,688981.SH,20251231,2.633
000016.SH,601211.SH,20251231,2.489
000016.SH,603259.SH,20251231,2.403
000016.SH,601288.SH,20251231,2.365
000016.SH,688041.SH,20251231,2.237
000016.SH,601328.SH,20251231,2.073
000016.SH,600887.SH,20251231,1.939
000016.SH,603993.SH,20251231,1.872
000016.SH,601816.SH,20251231,1.621
000016.SH,600150.SH,20251231,1.61
000016.SH,600309.SH,20251231,1.544
000016.SH,601601.SH,20251231,1.538
000016.SH,688008.SH,20251231,1.446
000016.SH,601088.SH,20251231,1.432
000016.SH,600031.SH,20251231,1.344
000016.SH,603019.SH,20251231,1.343
000016.SH,688012.SH,20251231,1.281
000016.SH,601857.SH,20251231,1.265
000016.SH,600111.SH,20251231,1.251
000016.SH,601012.SH,20251231,1.183
000016.SH,603501.SH,20251231,1.143
000016.SH,601668.SH,20251231,1.136
000016.SH,601127.SH,20251231,1.059
000016.SH,601728.SH,20251231,1.049
000016.SH,600690.SH,20251231,1.049
000016.SH,601919.SH,20251231,1.026
000016.SH,601888.SH,20251231,0.99
000016.SH,600406.SH,20251231,0.968
000016.SH,600028.SH,20251231,0.965
000016.SH,600809.SH,20251231,0.898
000016.SH,601225.SH,20251231,0.886
000016.SH,601988.SH,20251231,0.879
000016.SH,600050.SH,20251231,0.856
000016.SH,601628.SH,20251231,0.813
000016.SH,601985.SH,20251231,0.763
000016.SH,688111.SH,20251231,0.762
000016.SH,600104.SH,20251231,0.75
000016.SH,601658.SH,20251231,0.644
000016.SH,600760.SH,20251231,0.512
000016.SH,600930.SH,20251231,0.197
000016.SH,600519.SH,20251128,9.964
000016.SH,601318.SH,20251128,6.944
000016.SH,600036.SH,20251128,5.814
000016.SH,601899.SH,20251128,5.149
000016.SH,601166.SH,20251128,3.837
000016.SH,600900.SH,20251128,3.744
000016.SH,601398.SH,20251128,3.109
000016.SH,688256.SH,20251128,3.039
000016.SH,600276.SH,20251128,3.032
000016.SH,600030.SH,20251128,2.945
000016.SH,601288.SH,20251128,2.807
000016.SH,603259.SH,20251128,2.494
000016.SH,688981.SH,20251128,2.47
000016.SH,601211.SH,20251128,2.368
000016.SH,601328.SH,20251128,2.214
000016.SH,688041.SH,20251128,2.21
000016.SH,600887.SH,20251128,2.033
000016.SH,600150.SH,20251128,1.697
000016.SH,601816.SH,20251128,1.634
000016.SH,601088.SH,20251128,1.484
000016.SH,688008.SH,20251128,1.484
000016.SH,600309.SH,20251128,1.383
000016.SH,600031.SH,20251128,1.318
000016.SH,601601.SH,20251128,1.301
000016.SH,688012.SH,20251128,1.283
000016.SH,603993.SH,20251128,1.247
000016.SH,601012.SH,20251128,1.231
000016.SH,601857.SH,20251128,1.209
000016.SH,601668.SH,20251128,1.175
000016.SH,601728.SH,20251128,1.165
000016.SH,600690.SH,20251128,1.132
000016.SH,601127.SH,20251128,1.127
000016.SH,603501.SH,20251128,1.113
000016.SH,600941.SH,20251128,1.063
000016.SH,600809.SH,20251128,1.037
000016.SH,601919.SH,20251128,1.007
000016.SH,600406.SH,20251128,0.973
000016.SH,601766.SH,20251128,0.967
000016.SH,601225.SH,20251128,0.962
000016.SH,601988.SH,20251128,0.95
000016.SH,600050.SH,20251128,0.923
000016.SH,600028.SH,20251128,0.922
000016.SH,601600.SH,20251128,0.911
000016.SH,601888.SH,20251128,0.844
