ts_code,trade_date,company_name,name,industry_id,industry_name,ret_20d,rs_market_20d,momentum_rank_in_industry,liquidity_rank_in_industry,pe_ttm,pb,total_mv,peer_score
601088.SH,20240926,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.02470023980815328,-0.03816766078859701,0.5,1.0,15.1824,2.4104,84898185.7677,0.5163499133877754
601088.SH,20240927,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.009659502535619646,-0.0909066218208261,0.5,1.0,14.8555,2.3585,83070281.9319,0.4542662707250681
601088.SH,20240930,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.0699386503067485,-0.11893293571634822,0.5,1.0,15.4915,2.4595,86626747.0038,0.4406161841128434
601088.SH,20241008,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.046609124537607904,-0.1751790571566998,0.5,1.0,15.0793,2.3941,84321998.689,0.42835189309576843
601088.SH,20241009,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.017770204479065077,-0.18333245467553838,0.5,1.0,14.3367,2.2762,80169478.0184,0.42764167285325416
601088.SH,20241010,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.06893977103036342,-0.12653753267046297,1.0,1.0,15.2605,2.4228,85335293.2067,0.6629485275921801
601088.SH,20241011,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.07413010590015157,-0.10571841027435247,1.0,1.0,15.1362,2.4031,84639895.0083,0.6708215788171245
601088.SH,20241014,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.10201446280991755,-0.09492712838775996,1.0,1.0,15.161,2.407,84778974.648,0.6765553080920564
601088.SH,20241015,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.09910620399579395,-0.07387463077579559,1.0,1.0,14.8555,2.3585,83070281.9319,0.6940769611482307
601088.SH,20241016,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.11579795808705007,-0.07104660285053632,0.5,1.0,14.756,2.3427,82513963.3731,0.4721170502350904
601088.SH,20241017,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.09335822886102951,-0.07427725278474329,0.5,1.0,14.5641,2.3123,81441063.2955,0.46877381836179166
601088.SH,20241018,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.14262384322264543,-0.06501034953149087,1.0,1.0,14.9159,2.3681,83408046.7711,0.7038814649839149
601088.SH,20241021,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.09864397766551458,-0.11474526543411923,0.5,1.0,14.6814,2.3309,82096724.4541,0.44208859193268996
601088.SH,20241022,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.09484808454425364,-0.12586424740251534,0.5,1.0,14.724,2.3377,82335146.6935,0.4381910418213314
601088.SH,20241023,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.07348326359832624,-0.14709606725969504,0.5,1.0,14.5854,2.3157,81560274.4153,0.43250927988121757
601088.SH,20241024,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.08657894736842109,-0.11563561369661901,0.5,1.0,14.6707,2.3292,82037118.8942,0.44175946547884193
601088.SH,20241025,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.06311688311688313,-0.13841307996617513,0.5,1.0,14.5428,2.3089,81321852.1758,0.4343627814897303
601088.SH,20241028,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.051150895140665176,-0.1464681772111398,0.5,1.0,14.2019,1.9678,81659617.0151,0.43264785944073253
601088.SH,20241029,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.004856726566294323,-0.1391144417266147,1.0,1.0,14.1605,1.962,81421194.7756,0.6591549121504579
601088.SH,20241030,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.03207276208712306,-0.13617217831444228,0.5,1.0,13.9739,1.9362,80348294.698,0.43493442217272954
601088.SH,20241031,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.06295342850456342,-0.11696767735943969,1.0,1.0,13.8356,1.917,79553553.8998,0.6662830982430091
601088.SH,20241101,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.017699115044247704,-0.0489894482141221,1.0,1.0,14.1916,1.9663,81600011.4552,0.7241487255629795
601088.SH,20241104,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.06536697247706436,-0.03646606050929657,1.0,1.0,14.081,1.951,80964218.8166,0.7443033902499382
601088.SH,20241105,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.033223374175306186,0.010753158887803038,1.0,1.0,14.1777,1.9644,81520537.3754,0.8450334075723831
601088.SH,20241106,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.0004956629491946751,-0.010157266226977657,1.0,1.0,13.9358,1.9309,80129740.9785,0.7936117297698589
601088.SH,20241107,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.04982537834691514,-0.07129613827114745,0.5,1.0,14.1017,1.9539,81083429.9364,0.4718398911160604
601088.SH,20241108,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.05657276995305183,-0.08834074533572034,0.5,1.0,13.8875,1.9242,79851581.6991,0.4561630784459293
601088.SH,20241111,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.07710335130067969,-0.0883261740048461,1.0,1.0,13.6076,1.8854,78242231.5828,0.6811890621133383
601088.SH,20241112,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.06936139679502529,-0.0908855796000021,1.0,1.0,13.4452,1.8629,77308411.1449,0.6792835931700074
601088.SH,20241113,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.052010594750782624,-0.0814626054024542,0.5,1.0,13.6041,1.8849,78222363.0628,0.46194011383320965
601088.SH,20241114,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.03366674798731395,-0.06955500093209344,1.0,1.0,13.6871,1.8964,78699207.5418,0.6987280376144519
601088.SH,20241115,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.04383039542639344,-0.039930155015784896,1.0,1.0,13.8702,1.9218,79752239.0994,0.7384310814154913
601088.SH,20241118,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.0026621490803484527,0.0037002472302309908,1.0,1.0,14.3159,1.9836,82315278.1736,0.8307337292749319
601088.SH,20241119,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.007963320463320378,1.1169310049963244e-05,1.0,1.0,14.2054,1.9683,81679485.535,0.8234929472902747
601088.SH,20241120,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.00024360535931777783,0.011513617810348653,1.0,1.0,14.1812,1.9649,81540405.8953,0.8467136847315021
601088.SH,20241121,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.002421893921046414,-0.002456810116953645,1.0,1.0,14.233,1.9721,81838433.6946,0.8095310566691414
601088.SH,20241122,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.027608111409723968,0.0028642734817647675,1.0,1.0,13.7527,1.9055,79076709.4209,0.8290361296708736
601088.SH,20241125,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.024087591240876005,0.014715301701336392,1.0,1.0,13.8598,1.9204,79692633.5395,0.853192279138827
601088.SH,20241126,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.0287945339189849,-0.0006075648415492241,1.0,1.0,13.7527,1.9055,79076709.4209,0.8136624597871814
601088.SH,20241127,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.003956478733927016,0.0073636492774822315,1.0,1.0,14.0291,1.9438,80666191.0173,0.8382603316010888
601088.SH,20241128,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.005744255744255744,0.014477479524285353,1.0,1.0,13.9151,1.928,80010529.8588,0.8527418955704034
601088.SH,20241129,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.027027027027027084,-0.0170029839718141,1.0,1.0,13.808,1.9132,79394605.7402,0.7799269982677555
601088.SH,20241202,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.027975460122699358,-0.014248611256314825,1.0,1.0,13.6871,1.8964,78699207.5418,0.7854095520910666
601088.SH,20241203,中国神华,中国神华,IND_煤炭开采,煤炭开采,-0.019497928345113325,0.007913157284306416,1.0,1.0,13.9013,1.9261,79931055.779,0.8392823558525118
601088.SH,20241204,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.043887924621869745,0.0652648514062345,1.0,1.0,14.5475,2.0157,83646469.0106,0.9312212323682256
601088.SH,20241205,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.027199215878461303,0.08520736796554562,1.0,1.0,14.4853,2.007,83288835.6514,0.9499901014600347
601088.SH,20241206,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.05349589450111991,0.08969513743337343,1.0,1.0,14.6304,2.0271,84123313.4895,0.9533766394456817
601088.SH,20241209,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.07922803453529714,0.11051357704453768,1.0,1.0,14.6857,2.0348,84441209.8088,0.9661692650334075
601088.SH,20241210,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.09329221279876654,0.10174857644847024,1.0,1.0,14.6995,2.0367,84520683.8886,0.9614662212323682
601088.SH,20241211,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.10185420370840759,0.12079572495776325,1.0,1.0,14.9898,2.0769,86189639.5648,0.970733729274932
601088.SH,20241212,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.08836152486745763,0.08905823123985435,1.0,1.0,14.8965,2.064,85653189.526,0.952900272209849
601088.SH,20241213,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.06128550074738426,0.07379738801166735,1.0,1.0,14.7202,2.0396,84639895.0083,0.9402029200692898
601088.SH,20241216,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.04875693941588222,0.06246468808307393,1.0,1.0,15.014,2.0803,86328719.2045,0.9281638208364267
601088.SH,20241217,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.04110921916808552,0.04816345685634782,0.5,1.0,14.7893,2.0492,85037265.4074,0.6853650086612224
601088.SH,20241218,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.0492202729044835,0.05103653762662674,0.5,1.0,14.8792,2.0616,85553846.9262,0.6890200445434298
601088.SH,20241219,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.0344743869871329,0.04159002941897583,1.0,1.0,14.7237,2.0401,84659763.5283,0.9003612967087354
601088.SH,20241220,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.03869346733668344,0.02066441988883372,1.0,1.0,14.2849,1.9793,82136461.494,0.8648329621380846
601088.SH,20241223,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.041635502368486677,0.007109147067419386,1.0,1.0,14.4369,2.0003,83010676.372,0.8378012868101955
601088.SH,20241224,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.04874371859296489,0.00649316132480493,1.0,1.0,14.4231,1.9984,82931202.2922,0.8366753278891363
601088.SH,20241225,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.056650246305418595,0.024505501954210418,1.0,1.0,14.8239,2.054,85235950.607,0.8724115317990596
601088.SH,20241226,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.04618822945120438,0.010759302658756908,1.0,1.0,14.5578,2.0171,83706074.5704,0.8450507300173224
601088.SH,20241227,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.05580580580580574,0.026568246834336673,1.0,1.0,14.5786,2.02,83825285.6901,0.8760579064587973
601088.SH,20241230,中国神华,中国神华,IND_煤炭开采,煤炭开采,0.08003029537995454,0.04982697302131589,1.0,1.0,14.7824,2.0482,84997528.3675,0.9124610244988864
