ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
600519.SH,20241101,1533.75,0.257,0.5879,0.95,25.7807,23.3015,8.1052,192669337.575,192669337.575
600519.SH,20241031,1527.79,0.2385,0.5455,0.91,25.6805,23.2109,8.0737,191920643.6862,191920643.6862
600519.SH,20241030,1532.0,0.2548,0.5828,0.93,25.7512,23.2749,8.096,192449502.96,192449502.96
600519.SH,20241029,1531.62,0.3277,0.7496,1.23,25.7449,23.2691,8.094,192401767.4436,192401767.4436
600519.SH,20241028,1565.0,0.3114,0.7124,1.15,26.3059,23.7763,8.2704,196594955.7,196594955.7
600519.SH,20241025,1558.85,0.2209,0.5052,0.66,26.2026,24.3411,8.959,195822394.053,195822394.053
600519.SH,20241024,1552.2,0.1904,0.4356,0.53,26.0908,24.2373,8.9208,194987022.516,194987022.516
600519.SH,20241023,1567.5,0.3191,0.73,0.86,26.348,24.4762,9.0087,196909005.15,196909005.15
600519.SH,20241022,1543.0,0.2887,0.6605,0.75,25.9361,24.0936,8.8679,193831320.54,193831320.54
600519.SH,20241021,1528.8,0.3344,0.765,0.86,25.6975,23.8719,8.7863,192047519.664,192047519.664
600519.SH,20241018,1541.0,0.5462,1.2496,1.59,25.9025,24.0624,8.8564,193580080.98,193580080.98
600519.SH,20241017,1494.6,0.3141,0.7186,0.78,25.1226,23.3379,8.5898,187751323.188,187751323.188
600519.SH,20241016,1522.5,0.3715,0.8498,0.72,25.5916,23.7735,8.7501,191256115.05,191256115.05
600519.SH,20241015,1554.25,0.3469,0.7935,0.46,26.1252,24.2693,8.9326,195244543.065,195244543.065
600519.SH,20241014,1601.99,0.3567,0.816,0.38,26.9277,25.0147,9.207,201241631.3622,201241631.3622
600519.SH,20241011,1604.99,0.3337,0.7633,0.33,26.9781,25.0616,9.2242,201618490.7022,201618490.7022
600519.SH,20241010,1640.0,0.5939,1.3586,0.57,27.5666,25.6082,9.4254,206016439.2,206016439.2
600519.SH,20241009,1595.15,0.9568,2.1888,0.98,26.8127,24.9079,9.1676,200382392.067,200382392.067
600519.SH,20241008,1723.0,1.55,3.5457,1.88,28.9617,26.9043,9.9024,216442880.94,216442880.94
600519.SH,20240930,1748.0,1.2521,2.8644,1.94,29.382,27.2946,10.0461,219583375.44,219583375.44
600519.SH,20240927,1629.2,0.6999,1.6011,1.23,27.3851,25.4396,9.3633,204659745.576,204659745.576
600519.SH,20240926,1529.0,0.7744,1.7715,1.52,25.7008,23.875,8.7875,192072643.62,192072643.62
600519.SH,20240925,1399.0,0.5887,1.3467,1.27,23.5157,21.8451,8.0403,175742072.22,175742072.22
600519.SH,20240924,1372.6,0.7993,1.8286,2.03,23.0719,21.4329,7.8886,172425710.028,172425710.028
600519.SH,20240923,1261.54,0.3626,0.8295,0.91,21.2051,19.6987,7.2503,158474377.2612,158474377.2612
600519.SH,20240920,1263.92,0.3183,0.7281,0.86,21.2451,19.7358,7.264,158773352.3376,158773352.3376
600519.SH,20240919,1261.0,0.4775,1.0924,1.57,21.196,19.6902,7.2472,158406542.58,158406542.58
600519.SH,20240918,1266.9,0.3677,0.8411,1.33,21.2952,19.7824,7.2811,159147699.282,159147699.282
600519.SH,20240913,1304.13,0.4458,1.0199,2.19,21.921,20.3637,7.4951,163824523.6914,163824523.6914
600519.SH,20240912,1335.06,0.3817,0.8732,2.54,22.4409,20.8467,7.6729,167709943.4868,167709943.4868
600519.SH,20240911,1380.0,0.1671,0.3823,1.2,23.1963,21.5484,7.9311,173355296.4,173355296.4
600519.SH,20240910,1378.0,0.1576,0.3606,1.16,23.1627,21.5172,7.9196,173104056.84,173104056.84
600519.SH,20240909,1375.0,0.228,0.5215,1.57,23.1122,21.4703,7.9024,172727197.5,172727197.5
600519.SH,20240906,1398.0,0.0822,0.188,0.43,23.4988,21.8295,8.0346,175616452.44,175616452.44
600519.SH,20240905,1404.88,0.1155,0.2641,0.55,23.6145,21.9369,8.0741,176480716.5264,176480716.5264
600519.SH,20240904,1400.0,0.1131,0.2588,0.47,23.5325,21.8607,8.0461,175867692.0,175867692.0
600519.SH,20240903,1410.0,0.1424,0.3257,0.61,23.7006,22.0168,8.1036,177123889.8,177123889.8
600519.SH,20240902,1395.0,0.2717,0.6216,1.34,23.4484,21.7826,8.0173,175239593.1,175239593.1
600519.SH,20240830,1443.19,0.3084,0.7055,1.87,24.2584,22.5351,8.2943,181293210.2982,181293210.2982
600519.SH,20240829,1413.3,0.2187,0.5003,1.43,23.756,22.0684,8.1225,177538435.074,177538435.074
600519.SH,20240828,1389.0,0.2521,0.5766,2.0,23.3476,21.6889,7.9829,174485874.42,174485874.42
600519.SH,20240827,1404.07,0.1087,0.2487,0.81,23.6009,21.9242,8.0695,176378964.5046,176378964.5046
600519.SH,20240826,1412.0,0.1244,0.2846,0.88,23.7342,22.0481,8.115,177375129.36,177375129.36
600519.SH,20240823,1414.99,0.122,0.279,0.85,23.7844,22.0948,8.1322,177750732.5022,177750732.5022
600519.SH,20240822,1410.05,0.1554,0.3556,1.04,23.7014,22.0176,8.1038,177130170.789,177130170.789
600519.SH,20240821,1417.58,0.1201,0.2748,0.82,23.828,22.1352,8.1471,178076087.7324,178076087.7324
600519.SH,20240820,1422.72,0.148,0.3386,1.04,23.9144,22.2155,8.1767,178721773.4016,178721773.4016
600519.SH,20240819,1425.44,0.1627,0.3721,1.23,23.9601,22.2579,8.1923,179063459.2032,179063459.2032
600519.SH,20240816,1431.2,0.131,0.2996,0.85,24.0569,22.3479,8.2254,179787029.136,179787029.136
600519.SH,20240815,1426.89,0.1834,0.4195,1.17,23.9845,22.2806,8.2006,179245607.8842,179245607.8842
600519.SH,20240814,1413.3,0.1068,0.2443,0.63,23.756,22.0684,8.1225,177538435.074,177538435.074
600519.SH,20240813,1423.01,0.1298,0.297,0.7,23.9192,22.22,8.1783,178758203.1378,178758203.1378
600519.SH,20240812,1436.1,0.1085,0.2482,0.48,24.1393,22.4244,8.2536,180402566.058,180402566.058
600519.SH,20240809,1436.8,0.2399,0.5488,1.13,24.151,22.4353,8.2576,180490499.904,180490499.904
