ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000016.SH,20240220,2369.0834,2367.9194,2372.8633,2353.9675,2371.5483,-2.4649,-0.1039,37486079.0,60546151.372
000016.SH,20240219,2371.5483,2368.4482,2371.5483,2348.4059,2352.5775,18.9708,0.8064,52160225.0,78856898.581
000016.SH,20240208,2352.5775,2345.0777,2355.7709,2330.8277,2344.1508,8.4267,0.3595,50486201.0,79375433.558
000016.SH,20240207,2344.1508,2323.1248,2344.7943,2305.5136,2318.8418,25.309,1.0915,64784099.0,95430744.991
000016.SH,20240206,2318.8418,2250.1109,2321.448,2246.8163,2255.2809,63.5609,2.8183,58385076.0,88303224.387
000016.SH,20240205,2255.2809,2221.9449,2270.3732,2203.0744,2229.0142,26.2667,1.1784,59314022.0,87422810.341
000016.SH,20240202,2229.0142,2252.6543,2264.0558,2184.7721,2248.268,-19.2538,-0.8564,50637119.0,72601307.611
000016.SH,20240201,2248.268,2245.4753,2270.0677,2238.7127,2254.2994,-6.0314,-0.2676,39890138.0,59264044.17
000016.SH,20240131,2254.2994,2261.1181,2273.0952,2243.9041,2270.9789,-16.6795,-0.7345,42928757.0,63009280.531
000016.SH,20240130,2270.9789,2292.2206,2303.7181,2270.9789,2304.4364,-33.4575,-1.4519,43267598.0,61237732.36
000016.SH,20240129,2304.4364,2312.6973,2327.3609,2304.4364,2314.3741,-9.9377,-0.4294,59549043.0,77810107.3
000016.SH,20240126,2314.3741,2303.3217,2323.3507,2295.9615,2312.8544,1.5197,0.0657,58316299.0,73311459.4
000016.SH,20240125,2312.8544,2264.0223,2314.4959,2261.3723,2260.5575,52.2969,2.3135,61945377.0,79432204.3
000016.SH,20240124,2260.5575,2238.3319,2264.5205,2209.507,2226.3713,34.1862,1.5355,44198033.0,61986777.9
000016.SH,20240123,2226.3713,2220.4989,2239.6539,2204.3685,2230.6094,-4.2381,-0.19,34015311.0,54006326.8
000016.SH,20240122,2230.6094,2237.7734,2257.5892,2206.7644,2243.5396,-12.9302,-0.5763,44786209.0,70458296.8
000016.SH,20240119,2243.5396,2227.7329,2250.6113,2218.1739,2238.4588,5.0808,0.227,35865114.0,59477638.7
000016.SH,20240118,2238.4588,2191.8887,2242.3256,2163.8682,2199.2587,39.2001,1.7824,54944741.0,83092561.7
000016.SH,20240117,2199.2587,2241.0157,2242.6104,2199.2587,2248.975,-49.7163,-2.2106,30628292.0,51922838.4
000016.SH,20240116,2248.975,2231.8236,2249.051,2223.4372,2238.5029,10.4721,0.4678,28782237.0,46347948.3
000016.SH,20240115,2238.5029,2227.3616,2256.8001,2225.2362,2237.2073,1.2956,0.0579,23715095.0,39317045.0
000016.SH,20240112,2237.2073,2231.2855,2250.7314,2229.5887,2240.1061,-2.8988,-0.1294,25893778.0,39121731.4
000016.SH,20240111,2240.1061,2234.8184,2251.0754,2226.2781,2235.2089,4.8972,0.2191,30524425.0,45573502.9
000016.SH,20240110,2235.2089,2239.0296,2257.8543,2233.1811,2245.6219,-10.413,-0.4637,25713298.0,41868260.247
000016.SH,20240109,2245.6219,2243.4096,2251.5411,2234.9149,2243.8422,1.7797,0.0793,30269328.0,48702067.011
000016.SH,20240108,2243.8422,2265.2418,2272.0351,2240.5554,2268.5377,-24.6955,-1.0886,31500656.0,47632268.29
000016.SH,20240105,2268.5377,2272.9358,2295.6047,2256.598,2279.0361,-10.4984,-0.4607,35589372.0,51973252.609
000016.SH,20240104,2279.0361,2293.4576,2296.1151,2260.3536,2294.8357,-15.7996,-0.6885,32125788.0,48905527.79
000016.SH,20240103,2294.8357,2287.755,2299.6831,2283.5939,2292.2286,2.6071,0.1137,29314375.0,44217105.083
000016.SH,20240102,2292.2286,2316.4348,2316.735,2292.2286,2326.1732,-33.9446,-1.4592,31375477.0,50622406.22
000016.SH,20231229,2326.1732,2314.0684,2327.6771,2309.4266,2317.7033,8.4699,0.3654,30362343.0,51479708.787
000016.SH,20231228,2317.7033,2267.0558,2322.0485,2265.2335,2266.5441,51.1592,2.2571,42922566.0,69274073.668
000016.SH,20231227,2266.5441,2263.4871,2271.2325,2250.0149,2262.2095,4.3346,0.1916,26761125.0,37638308.14
000016.SH,20231226,2262.2095,2273.0451,2273.0451,2255.3525,2272.9578,-10.7483,-0.4729,19899127.0,30599004.037
000016.SH,20231225,2272.9578,2266.3922,2276.1257,2263.6031,2270.5018,2.456,0.1082,19434561.0,31479908.488
000016.SH,20231222,2270.5018,2262.1606,2282.7723,2251.4458,2261.3818,9.12,0.4033,29596181.0,45871264.375
000016.SH,20231221,2261.3818,2228.7701,2266.772,2227.9707,2237.5812,23.8006,1.0637,28726944.0,49033060.128
000016.SH,20231220,2237.5812,2253.6767,2258.494,2236.8759,2257.2098,-19.6286,-0.8696,24979420.0,37376223.9
000016.SH,20231219,2257.2098,2248.4528,2264.2936,2238.871,2251.2303,5.9795,0.2656,22119560.0,35256754.587
